FA_Value,SHAP_Value
0.85,1.006772559718889
0.85,0.636527158325665
0.85,0.9283665897970002
0.85,0.9283665897970002
0.855,0.8642626751584516
0.87,0.8181801959507226
0.875,0.6669305105003283
0.88,1.2479229333491746
0.88,1.1509422302119572
0.89,1.5690483858877178
0.89,1.5237787905633686
0.9,1.7068715080242447
0.9,1.7028963723149717
0.9,1.559825291273612
0.9,1.559825291273612
0.9,1.5697073834798092
0.9,1.710674137214904
0.9,1.6907727804020345
0.9,1.72055576539058
0.9,0.9766172896286623
0.9,1.6168260545747977
0.9,1.5481103375279572
0.9,1.607944421104957
0.9,1.410516580738493
0.9,1.3657498682876446
0.9,1.6084386635608097
0.9,1.655037881717374
0.9,1.1837226371719658
0.9,1.5359560929460523
0.9,1.031314736413538
0.9,1.5075740399654787
0.9025,1.7185262576114224
0.9025,1.6475385897576798
0.9025,1.4514678507819188
0.9025,1.8721470113093654
0.9025,1.8316667206433839
0.9025,1.6724098483829597
0.91,1.4813566916902874
0.91,1.602512703639029
0.91,1.4370669910233673
0.91,1.5811276960126215
0.91,1.5895561258788555
0.92,1.8497083762649849
0.92,1.4368045942645749
0.93,1.5964823103548056
0.93,1.936356569025884
0.95,1.5287946781041246
0.95,1.4006858421438348
0.95,1.2766287448481817
0.95,1.2720416030361241
0.95,1.796365296752106
0.95,1.2649221217062867
0.95,1.591478705901374
0.95,1.8338306856750273
0.95,1.455183569132339
0.95,1.3837730077977985
0.95,1.8447062565111605
0.95,1.4751290677471156
0.95,1.8299353636901357
0.95,1.6600207236309539
0.95,1.6374237251277
0.95,1.387456981367017
0.95,1.590636636135301
0.95,1.6906965257512678
0.95,1.4075990240567453
0.95,1.6843817131649117
0.96,1.7149564509732584
0.97,1.5281808857344592
0.97,1.498276511742194
0.97,1.594505884679166
0.97,1.8908107417965367
1.0,1.6302041152846423
1.0,1.5561100886822572
1.0,1.4388073493638946
1.0,1.6684203478059663
1.0,1.8635581142192845
1.0,1.9754917989840721
1.0,2.0629052253863676
1.0,1.1656486224535811
1.0,1.7086213468369944
1.0,1.490504891155206
1.0,1.5138464670999523
1.0,1.5015949740603094
1.0,1.7581925070806959
1.0,1.129818562508282
1.0,1.3615103216701747
1.0,1.3906082731090206
1.0,1.7698021126718086
1.0,1.74256254916655
1.0,1.3906082731090206
1.0,1.556607402045551
1.0,1.8667861746811
1.0,1.6134742484538516
1.0,1.4523694199271178
1.0,1.86612573311054
1.0,1.368295107757406
1.0,1.498171140296212
