iter	R2	RMSE
96	0.9180554959	1.364347854
97	0.9190039793	1.35642891
98	0.9203515932	1.34509743
99	0.9209724352	1.339844803
100	0.9223394933	1.328205597
101	0.9233049768	1.319923582
102	0.9245961378	1.308765963
103	0.9265940976	1.291310514
104	0.9275687856	1.282708816
105	0.9296364823	1.264267482
106	0.9311647348	1.250462555
107	0.93151081	1.24731519
108	0.9332119719	1.231727129
109	0.9341179572	1.223344362
110	0.93655296	1.20052409
111	0.9371462619	1.194897774
112	0.9380659019	1.186124032
113	0.9386155805	1.180848747
114	0.9405659657	1.161937589
115	0.9420341743	1.147496078
116	0.9425164029	1.142712991
117	0.9445068793	1.122754412
118	0.9452616658	1.115092731
119	0.9469216803	1.098054204
120	0.9476534248	1.090458979
121	0.9478816855	1.088078872
122	0.9487824269	1.078635462
123	0.950007365	1.065658885
124	0.9509669173	1.055382273
125	0.9513945385	1.050770162
126	0.9519668408	1.044565727
127	0.9522209723	1.041798793
128	0.9529205661	1.034143513
129	0.9536311858	1.026309128
130	0.9542689999	1.019226122
131	0.9545500485	1.016089371
132	0.9551233536	1.009660565
133	0.955457819	1.00589103
134	0.9556841186	1.003332527
135	0.9558345877	1.001627733
136	0.9559659536	1.000137
137	0.9576014625	0.9813877544
138	0.9587081969	0.968494414
139	0.9588532372	0.9667919657
140	0.9592604724	0.9619958331
141	0.9594253393	0.9600473317
142	0.9596845512	0.9569757779
143	0.9601215108	0.9517755516
144	0.960526495	0.9469303616
145	0.9611198778	0.9397860776
146	0.9614657385	0.9355967752
147	0.9622051518	0.9265769649
148	0.9626734659	0.9208184857
149	0.9627612987	0.9197344625
150	0.9631628857	0.9147617514
151	0.9634246044	0.911506379
152	0.9635288024	0.9102070783
153	0.9637935714	0.9068971568
154	0.9643890412	0.8994085876
155	0.9645389852	0.8975130589
156	0.9655690009	0.8843822326
157	0.9659404845	0.8795983968
158	0.9666408328	0.8705080596
159	0.9670978493	0.8645245684
160	0.9672086232	0.8630680154
161	0.9673431264	0.8612961358
162	0.9677824719	0.8554828431
163	0.9680564333	0.851837784
164	0.9683616252	0.8477587468
165	0.9686452018	0.8439509394
166	0.968936	0.8400282371
167	0.9692922288	0.8351978047
168	0.9694264472	0.8333705536
169	0.9700969515	0.8241816274
170	0.9703735114	0.8203615308
171	0.9706096678	0.8170853872
172	0.9706759937	0.8161628984
173	0.971400631	0.8060155529
174	0.9718735688	0.7993233716
175	0.9726423283	0.7883240264
176	0.9728449123	0.785399827
177	0.9730179891	0.7828928974
178	0.9730830039	0.7819491139
179	0.9736635107	0.7734711818
180	0.9737600161	0.7720527569
181	0.973835387	0.7709431497
182	0.9743101522	0.7639166251
183	0.9746344825	0.7590791449
184	0.9751632616	0.7511254518
185	0.9756402775	0.7438774001
186	0.9756817508	0.7432438918
187	0.9757816825	0.7417152027
188	0.9759380402	0.7393170034
189	0.9763871067	0.7323856035
190	0.9769314871	0.723894031
191	0.977265217	0.7186387032
192	0.9773718917	0.7169507446
193	0.9778801095	0.7088538171
194	0.9780664932	0.7058610748
195	0.9782233028	0.7033333367
196	0.978500015	0.6988504916
197	0.978783376	0.6942299351
198	0.9791063397	0.6889258189
199	0.979546391	0.681632315
200	0.979765116	0.6779779289
201	0.9798356682	0.6767949564
202	0.9801000902	0.6723427871
203	0.9805034154	0.6654944923
204	0.9805511033	0.6646801062
205	0.9807897023	0.660590379
206	0.9809395407	0.6580090655
207	0.9811649783	0.6541061899
208	0.9812142483	0.6532501006
209	0.9815717358	0.6470046638
210	0.9817027214	0.6447011525
211	0.9818927402	0.6413447777
212	0.982020542	0.6390774507
213	0.9821075088	0.6375299654
214	0.9822557204	0.6348840009
215	0.9824676592	0.631081062
216	0.9826335987	0.6280874455
217	0.9827308828	0.6263257463
218	0.9827839045	0.6253634975
219	0.9829403379	0.6225158436
220	0.9832668948	0.61652894
221	0.9836300079	0.6098028242
222	0.9836545159	0.6093461758
223	0.9837727772	0.6071378333
224	0.9841070268	0.6008523606
225	0.9842022206	0.5990502013
226	0.9842967222	0.5972557683
227	0.9846478275	0.5905410844
228	0.9851040955	0.5816994278
229	0.9852774287	0.5783051102
230	0.9854297732	0.5753052695
231	0.9856569863	0.5708018901
232	0.9857676802	0.5685950095
233	0.9858371517	0.5672055851
234	0.9858644325	0.5666590397
235	0.9858871874	0.5662027627
236	0.9861898083	0.5600993253
