Encoded_Method,Count,Method_Name
13,177,spin-coating
6,80,blade-coating
12,38,slot die-coating
8,14,evaporation
7,6,drop casting
1,5,D-bar coating
10,4,evaporation+spin-coating
0,4,Chemical vapor  deposition
15,2,spray-coating
11,2,pressure application
16,2,spray-coating+Chemical vapor  deposition
5,1,Evaporation+spin-coating
14,1,spin-coating + spray-coating
9,1,evaporation+spary-coating
3,1,Evaporation+blade-coating
