Deposition_Method,Feature,SHAP_Importance,Data_Size
blade-coating,ETL-Addictive,0.017633408,80
blade-coating,Metal_Electrode,0.08761479,80
blade-coating,Glass,0.29801333,80
blade-coating,Active_Area,0.22623391,80
blade-coating,Precursor_Solution,0.15397495,80
blade-coating,Precursor_Solution_Addictive,0.14666887,80
blade-coating,Deposition_Method,0.08287624,80
blade-coating,Antisolvent,0.014269246,80
blade-coating,Annealing_Temperature1,0.042643145,80
blade-coating,Annealing_Time1,0.093067765,80
blade-coating,Annealing_Temperature2,0.03967426,80
blade-coating,Annealing_Time2,0.03619403,80
blade-coating,P1Wavelength(nm),0.02165052,80
blade-coating,P2Wavelength(nm),0.014588137,80
blade-coating,P3Wavelength(nm),0.022418328,80
blade-coating,total_scribing_line_width(μm),0.13665073,80
blade-coating,P1Width(μm),0.05249741,80
blade-coating,P2Width(μm),0.027136702,80
blade-coating,P3Width(μm),0.11952321,80
blade-coating,GFF,0.6976877,80
blade-coating,Type,0.027507165,80
blade-coating,submodule_number,0.1103338,80
blade-coating,P1Scan_Velocity(mm/s),0.012430175,80
blade-coating,P1etching_frequency(kHz),0.033938527,80
blade-coating,P1Spot Size(μm),0.020043919,80
blade-coating,P1etching_Power(W),0.050052356,80
blade-coating,P1etching_Power_percentage(%),0.014283417,80
blade-coating,P2Scan_Velocity,0.00998509,80
blade-coating,P2etching_frequency(kHz),0.01278252,80
blade-coating,P2Spot Size(μm),0.066183485,80
blade-coating,P2etching_Power(W),0.016422099,80
blade-coating,P2etching_Power_percentage(%),0.023265548,80
blade-coating,P3Scan_Velocity,0.017447919,80
blade-coating,P3etching_frequency(kHz),0.008873814,80
blade-coating,P3Spot Size(μm),0.011497876,80
blade-coating,P3etching_Power(W),0.083751336,80
blade-coating,P3etching_Power_percentage(%),0.0065046735,80
blade-coating,P1_P2Scribing_Spacing(μm),0.030867055,80
blade-coating,P2_P3Scribing_Spacing(μm),0.01785558,80
blade-coating,brand,0.17335305,80
blade-coating,Cs,0.19836566,80
blade-coating,MA,0.4501471,80
blade-coating,FA,1.0186661,80
blade-coating,Pb,0.0,80
blade-coating,I,0.050138183,80
blade-coating,Br,0.14414763,80
blade-coating,Cl,0.01915348,80
blade-coating,Bandgap,0.38250923,80
