FA_Value,SHAP_Value
0.0,-1.79098794972755
0.0,-1.7597716047094782
0.0,-1.5333752118275743
0.0,-1.5103270253059746
0.0,-1.9750796054870636
0.0,-2.133920411424306
0.0,-1.9068991725794522
0.0,-2.058780131899802
0.0,-2.0053888222214162
0.0,-2.028231018000795
0.0,-1.6617569633146845
0.0,-1.451147490179324
0.0,-1.5684618746153782
0.0,-1.8800002658385915
0.0,-1.9406983196801773
0.0,-2.188140763256783
0.0,-1.6884992819864546
0.0,-1.6397693330316137
0.0,-1.8091217579157561
0.0,-1.8300179984758642
0.0,-1.639767180194485
0.0,-2.1643029582835807
0.0,-1.9923668804823689
0.0,-1.5651589588433816
0.0,-1.7810965807414298
0.0,-1.770896062629157
0.0,-1.7654405673986215
0.0,-1.762791352573539
0.0,-1.762791352573539
0.0,-1.7512303620544143
0.0,-1.923868043532057
0.0,-1.9921136408586246
0.0,-1.8859247289755094
0.0,-1.6272101306657762
0.0,-1.8730456496436176
0.0,-1.9976415632209643
0.0,-2.0864244747699443
0.0,-1.65950493546959
0.0,-1.5910209735373415
0.0,-1.6837790649605584
0.0,-1.7425945879916753
0.0,-2.026237698982497
0.0,-1.8901744872627242
0.0,-1.7396364928369303
0.0,-1.8985538379817393
0.0,-1.6697261115627553
0.0,-2.0639008130807097
0.0,-1.8638393236849347
0.0,-1.5993780225287808
0.0,-1.5880106970095598
0.0,-2.109894178770483
0.0,-1.886027223020791
0.0,-1.8259992890813117
0.0,-1.9382027149335292
0.0,-2.1044626871986276
0.0,-1.7759032623163262
0.0,-1.8471927161295512
0.0,-1.980494712822779
0.0,-2.037454805364863
0.0,-1.7795441701624113
0.0,-2.4237825251990124
0.0,-2.108240951302733
0.0,-2.0944609058118906
0.0,-2.03967519844295
0.0,-1.5808015269136637
0.0,-2.102110225493412
0.0,-1.7537999313793775
0.0,-1.6460983908973548
0.0,-1.8530928933389559
0.0,-1.7628218519121446
0.0,-1.7272358541980717
0.0,-1.7564161480232887
0.0,-1.822404306376789
0.0,-2.235635723321783
0.0,-2.3040179896202146
0.0,-1.611151865897762
0.0,-1.9405958042910243
0.0,-1.482037089880416
0.0,-1.6797317046165494
0.0,-1.6024425807581884
0.0,-2.0094756378904997
0.0,-1.736114634680813
0.0,-1.5435085668522315
0.0,-2.1698605284613652
0.0,-1.9023603294787965
0.0,-1.872677034530254
0.0,-1.6348712745758098
0.0,-2.611975162339532
0.0,-2.588745624293938
0.0,-1.7640418143134196
0.0,-2.2952642467596625
0.0,-2.107122332115317
0.0,-2.394989151160176
0.0,-2.394989151160176
0.0,-2.4141179751318105
0.0,-1.7545030839317606
0.0,-1.783786946649334
0.0,-1.7206838789040553
0.0,-1.992715067351951
0.0,-1.8840125580224052
0.0,-1.8484894871031459
0.0,-1.912343955061674
0.0,-1.6711183819126139
0.0,-1.9523028737472927
0.0,-1.7886607347780006
0.0,-2.1490053670711005
0.0,-2.1490053670711005
0.0,-2.1490053670711005
0.0,-1.7971253776238976
0.0,-1.8244389234815135
0.0,-1.9917785985022425
0.0,-1.8244389234815135
0.0,-1.9665158815344332
0.0,-1.9917785985022425
0.0,-1.7108396093384406
0.0,-1.781863661859163
0.0,-1.9819663821197484
0.0,-2.107122332115317
0.0,-2.1593056441116856
0.0,-1.9370862111942153
0.0,-1.7446606495264485
0.0,-2.405251698007943
0.0,-1.8573891104022962
