mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_kernel,param_n_restarts_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.3159536600112915,0.029730041562005552,0.002726435661315918,0.0012228229454967143,0.001,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1),0,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 0}",0.34405700313263354,0.2623308824330447,0.5463947755187955,0.19244322157224936,0.2186519336393511,0.24307424678245604,0.25980110494647357,0.4875352503460598,0.43497938694812754,0.4210333079808245,0.34103011133000155,0.1176078631223487,45
0.5584863662719727,0.050830740652132785,0.002504396438598633,0.0011224541595403238,0.001,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1),1,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 1}",0.34405754788596554,0.2623310437738148,0.5463940398197634,0.19244322157224936,0.2186519336393511,0.24307392487112123,0.25980110494647357,0.4875352503460598,0.43497938694812754,0.4210333079808245,0.34103007617837505,0.11760775207403366,46
1.0380605220794679,0.1751976283104674,0.0033837080001831053,0.0017271212226329248,0.001,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1),2,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 2}",0.34405747473786885,0.26233151642509733,0.5463941444661953,0.19244328116503273,0.2186519336393511,0.24307389330352458,0.25980111119584415,0.4875352503460598,0.43497938694812754,0.4210337631158567,0.3410301755342958,0.11760776416023426,43
0.32201788425445554,0.051356554214714356,0.0024659395217895507,0.002439487752733301,0.001,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1)",0,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 0}",0.36906179349138635,0.28030654321995474,0.5753417661191933,0.2297018938546549,0.22255632738373676,0.2598782078467903,0.3156871042730601,0.5060516423499812,0.44856194630842916,0.4399704192440036,0.36471176440911907,0.1166229678373044,18
0.5751190423965454,0.06090169374805883,0.0020457029342651365,0.001232638211648603,0.001,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1)",1,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 1}",0.3690617675789539,0.28030654321995474,0.5753417661191933,0.2297018938546549,0.22255625282103464,0.2598782078467903,0.3156871042730601,0.5060525207254024,0.44856194630842916,0.4399704192440036,0.3647118421991477,0.116623083283295,16
1.2132899761199951,0.16241936294291592,0.0021330595016479494,0.0008062333217520348,0.001,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1)",2,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 2}",0.3690618264057568,0.2803065532433787,0.5753417661191933,0.22970207031864598,0.22255625282103464,0.2598782002160547,0.3156871620500771,0.5060525207254024,0.44856194630842916,0.4399704192440036,0.36471187174519765,0.1166230606059101,14
0.31443071365356445,0.032724299928304515,0.0020296573638916016,0.0014146201967708224,0.001,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1)",0,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 0}",0.36209307999973295,0.27371616145759703,0.56647397654196,0.21860376137736248,0.21771451431841127,0.2519051858081881,0.29501661614303265,0.49936334727621967,0.4441249602608254,0.4338574292948588,0.35628690324781886,0.1174914337394597,28
0.5663813352584839,0.053035221555876776,0.0016236543655395509,0.0008030790671748459,0.001,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1)",1,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 1}",0.36209352282824336,0.27371616145759703,0.56647397654196,0.21860376137736248,0.21771460372984752,0.2519058761483618,0.29501661614303265,0.49936334727621967,0.4441250408851918,0.4338574292948588,0.3562870335682675,0.11749137007900362,26
1.1649429559707642,0.156675864431488,0.0028094053268432617,0.0015293641492565041,0.001,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1)",2,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 2}",0.36209386543702227,0.27371616145759703,0.56647397654196,0.21860376137736248,0.21771460372984752,0.2519058761483618,0.2950165001965701,0.49936334727621967,0.4441250408851918,0.4338574363311857,0.3562870569381318,0.11749137828327884,24
0.21032721996307374,0.043257734260116115,0.001279926300048828,0.0006845260915331243,0.001,RBF(length_scale=1) + WhiteKernel(noise_level=0.1),0,"{'alpha': 0.001, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.1), 'n_restarts_optimizer': 0}",0.34874410841665693,0.2660834525907875,0.5530331039856555,0.19730161273518676,0.21755619256351855,0.24554271790519777,0.25820849324684414,0.49139195928142676,0.4373528327345819,0.42551810808307977,0.34407325815429357,0.1189264878395826,39
