Original,Encoded
0,0
BCP,1
Bi-SnO2,2
C60,3
CBD-SnO2,4
G-TiO2,5
PAH,6
PC60BM,7
PC61BM,8
PC71BM,9
PCBM,10
PTAA,11
SnO2,12
TiO2,13
TiO2 nanorods,14
ZnO,15
ZnO-ZnS,16
bl-TiO2,17
c-TiO2,18
m-TiO2,19
np-SnO2,20
