Original,Encoded
Ag,0
Al,1
Al+LiF,2
Au,3
Au+Ag,4
Au+ITO,5
Ca/Al,6
Carbon,7
Carbon+CuPc,8
Cr/Au,9
Cu,10
ITO,11
IZO,12
LTC,13
PG,14
