Feature,Original,Encoded
ETL_Passivator,GBA,14
ETL_Passivator,Go-Li,15
ETL_Passivator,H2O,16
ETL_Passivator,KOH,17
ETL_Passivator,L-His,18
ETL_Passivator,Li2CO3,19
ETL_Passivator,LiF,20
ETL_Passivator,MACl,21
ETL_Passivator,MESK,22
ETL_Passivator,NAAc,23
ETL_Passivator,NH4F,24
ETL_Passivator,PCBA/PS,25
ETL_Passivator,PCBBM,26
ETL_Passivator,PDAI2,27
ETL_Passivator,PDAI2+PEAI,28
ETL_Passivator,PDAI2+Q344,29
ETL_Passivator,PDI,30
ETL_Passivator,PDMS,31
ETL_Passivator,PEABr,32
ETL_Passivator,PEABr+PMMA,33
ETL_Passivator,PEACl,34
ETL_Passivator,PEAI,35
ETL_Passivator,PEAI+EDAI2,36
ETL_Passivator,PMI-F-PMI,37
ETL_Passivator,TMACL,38
ETL_Passivator,VBETS,39
ETL_Passivator,VBN,40
ETL_Passivator,Y7-BO,41
ETL_Passivator,ZrO2,42
ETL_Passivator,g-C3N4,43
ETL_Passivator,methyl ammonium chloride,44
ETL_Passivator,piperazinium iodide,45
ETL-Addictive, KMnO4,0
ETL-Addictive,0,1
ETL-Addictive,Acac,2
ETL-Addictive,Al,3
ETL-Addictive,ClT,4
ETL-Addictive,DMAPF+N-DMBI,5
ETL-Addictive,H2O,6
ETL-Addictive,HNO3,7
ETL-Addictive,IPA,8
ETL-Addictive,KCl,9
ETL-Addictive,KF,10
ETL-Addictive,Li-TFSI,11
ETL-Addictive,NbCl3,12
ETL-Addictive,Niobium Ethoxide,13
ETL-Addictive,OAmI,14
ETL-Addictive,PAA,15
ETL-Addictive,PAAm,16
ETL-Addictive,PC,17
ETL-Addictive,TAA,18
ETL-Addictive,TPFPB +LiClO4 ,19
ETL-Addictive,Urea,20
ETL-Addictive,graphene,21
ETL-Addictive,mercaptoacetic aCld,22
Metal_Electrode,Ag,0
Metal_Electrode,Al,1
Metal_Electrode,Al+LiF,2
Metal_Electrode,Au,3
Metal_Electrode,Au+Ag,4
Metal_Electrode,Au+ITO,5
Metal_Electrode,Ca/Al,6
Metal_Electrode,Carbon,7
Metal_Electrode,Carbon+CuPc,8
Metal_Electrode,Cr/Au,9
Metal_Electrode,Cu,10
Metal_Electrode,ITO,11
Metal_Electrode,IZO,12
Metal_Electrode,LTC,13
Metal_Electrode,PG,14
Glass,Ag,0
Glass,Al,1
Glass,Au,2
Glass,ClGS,3
Glass,Cu,4
Glass,FTO,5
Glass,ITO,6
Glass,PDMS,7
Glass,PDMS+PEN,8
Glass,PEN+ITO,9
Glass,PET+ITO,10
Glass,TCO,11
Precursor_Solution, DMF,0
Precursor_Solution, DMF:NMP(125:24),1
Precursor_Solution, isopropanol,2
Precursor_Solution,0,3
Precursor_Solution,2-ME,4
Precursor_Solution,2-ME+ACN+NMP,5
Precursor_Solution,2-ME+DMI,6
Precursor_Solution,2-ME+DMSO,7
Precursor_Solution,2-ME+DMSO+ACN,8
Precursor_Solution,2P,9
Precursor_Solution,ACN,10
Precursor_Solution,ACN+2-ME+DMSO,11
Precursor_Solution,ACN:2-ME(3:2),12
Precursor_Solution,DMA,13
Precursor_Solution,DMF,14
Precursor_Solution,DMF+2-ME+NMP,15
Precursor_Solution,DMF+DMSO,16
Precursor_Solution,DMF+DMSO+ACN,17
Precursor_Solution,DMF+DMSO+GBL,18
Precursor_Solution,DMF+DMSO+IPA,19
Precursor_Solution,DMF+IPA,20
Precursor_Solution,DMF+NMP,21
Precursor_Solution,DMF+NMP+2-ME,22
Precursor_Solution,DMF:CHP(9:1),23
Precursor_Solution,DMF:DMI(19:1),24
Precursor_Solution,DMF:DMPU(9:1),25
Precursor_Solution,DMF:DMSO (4:1),26
Precursor_Solution,DMF:DMSO (4:6),27
Precursor_Solution,DMF:DMSO(14:0.65),28
Precursor_Solution,DMF:DMSO(19:1),29
Precursor_Solution,DMF:DMSO(1:1),30
Precursor_Solution,DMF:DMSO(1:4),31
Precursor_Solution,DMF:DMSO(1:8),32
Precursor_Solution,DMF:DMSO(20:3),33
Precursor_Solution,DMF:DMSO(3.16:1),34
Precursor_Solution,DMF:DMSO(3.3:1),35
Precursor_Solution,DMF:DMSO(3:1),36
Precursor_Solution,DMF:DMSO(4.75:1),37
Precursor_Solution,DMF:DMSO(4:1),38
Precursor_Solution,DMF:DMSO(5:1),39
Precursor_Solution,DMF:DMSO(6:4),40
Precursor_Solution,DMF:DMSO(7.6:1),41
Precursor_Solution,DMF:DMSO(7:1),42
Precursor_Solution,DMF:DMSO(7:3),43
Precursor_Solution,DMF:DMSO(8.5:1.5),44
Precursor_Solution,DMF:DMSO(8:1),45
Precursor_Solution,DMF:DMSO(9:1),46
Precursor_Solution,DMF:DMSO:GBL(1:1:1),47
Precursor_Solution,DMF:DMSO:GBL(2:1:2),48
Precursor_Solution,DMF:DMSO:NMP(4:1:1),49
Precursor_Solution,DMF:DMSO:NMP(5.5:0.9:0.1),50
Precursor_Solution,DMF:N1(9.1:0.9),51
Precursor_Solution,DMF:NMP ( 5:1),52
Precursor_Solution,DMF:NMP ( 8:1),53
Precursor_Solution,DMF:NMP (1:1),54
Precursor_Solution,DMF:NMP (4:1),55
Precursor_Solution,DMF:NMP (5:95),56
Precursor_Solution,DMF:NMP (6:1),57
Precursor_Solution,DMF:NMP (8:9),58
Precursor_Solution,DMF:NMP (9:1),59
Precursor_Solution,DMF:NMP(180:29),60
Precursor_Solution,DMF:NMP(1:1),61
Precursor_Solution,DMF:NMP(6:1),62
Precursor_Solution,DMF:NMP(95:5),63
Precursor_Solution,DMF:NMP(9:1),64
Precursor_Solution,DMF:TBP=9:1,65
Precursor_Solution,DMSO,66
Precursor_Solution,DMSO+GBL,67
Precursor_Solution,DMSO+IPA,68
Precursor_Solution,DMSO:GBL(1:1),69
Precursor_Solution,DMSO:GBL(3:7),70
Precursor_Solution,DMSO:GBL(8:2),71
Precursor_Solution,GBL,72
Precursor_Solution,GBL+EtOH+AcOH,73
Precursor_Solution,GBL:2P(4:1),74
Precursor_Solution,GBL:DMF:DMSO(16:4:1.125),75
Precursor_Solution,GBL:DMSO(1:1),76
Precursor_Solution,GBL:DMSO(1:9),77
Precursor_Solution,GBL:DMSO(7:3),78
Precursor_Solution,GBL:MSM(8:1),79
Precursor_Solution,IPA,80
Precursor_Solution,NMP+DMF,81
Precursor_Solution,NMP:DMF(9:8),82
Precursor_Solution,THF:ME(0.9:1),83
Precursor_Solution,acetonitrile,84
Precursor_Solution,ethanol,85
Precursor_Solution_Addictive, L-α-PC,0
Precursor_Solution_Addictive,0,1
Precursor_Solution_Addictive,4-CBA,2
Precursor_Solution_Addictive,5-AVAI,3
Precursor_Solution_Addictive,BHC+LP+MAH2PO2+p-F-PEAI+NDDAI+ZnCl2,4
Precursor_Solution_Addictive,BHC+n-DAI+LP+MAH2PO2+p-F-PEAI+DMSO,5
Precursor_Solution_Addictive,BMCl,6
Precursor_Solution_Addictive,BMIMBF4,7
Precursor_Solution_Addictive,BMIMSCN,8
Precursor_Solution_Addictive,BPyBF4+PbI2,9
Precursor_Solution_Addictive,CBH+n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI,10
Precursor_Solution_Addictive,CHEAI,11
Precursor_Solution_Addictive,CHP,12
Precursor_Solution_Addictive,CMPS,13
Precursor_Solution_Addictive,CPPA,14
Precursor_Solution_Addictive,CsBr,15
Precursor_Solution_Addictive,CsBr+SrI2,16
Precursor_Solution_Addictive,CsI,17
Precursor_Solution_Addictive,CsI+KI,18
Precursor_Solution_Addictive,CsI+RbI,19
Precursor_Solution_Addictive,CsI+RbI+KI,20
Precursor_Solution_Addictive,DMF+CB,21
Precursor_Solution_Addictive,DMSCl2,22
Precursor_Solution_Addictive,DMSO,23
Precursor_Solution_Addictive,DPSO,24
Precursor_Solution_Addictive,DSPC,25
Precursor_Solution_Addictive,DiSe,26
Precursor_Solution_Addictive,EACl,27
Precursor_Solution_Addictive,EMIC+n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI+benzylhydrazine dihydrochloride,28
