Original,Encoded
0,0
Arg,1
BCP,2
BM-TU,3
Br-BA,4
CA-Br,5
CFE,6
DMPU+PEAI,7
F2HCNQ,8
F4-TCNQ,9
FK209,10
Graphene,11
HI,12
I-76,13
LUMTEC+TBP+Li-TFSI,14
Li-TFSI,15
Li-TFSI+FK209,16
Li-TFSI+t-BP,17
Li-TFSI+t-BP+Co(TPBPy)3,18
Li-TFSI+t-BP+FK102,19
Li-TFSI+t-BP+FK209,20
Li-TFSI+t-BP+FK26+L2359,21
Li-TFSI+t-BP+PPO-Co(II)TFSI,22
Li-TFSI+t-BP+PPO-TEMPO(TFSI),23
Li-TFSI+t-CoPF6,24
LiN(CF3SO2)2N+TBP,25
MCC,26
OATFSI,27
P3HT,28
PA,29
PM,30
TEA,31
t-BP,32
