Original,Encoded
0,0
2T-NATA,1
4PA-spiro,2
A-4PADCB,3
AI2O3,4
CT,5
Carbon,6
CbzNaph,7
EH44,8
FTPE-OSMe,9
FTPE-ST,10
LiCoO₂,11
MFGO,12
Me-4PACz,13
Me-4PACz+MeO-2PACz,14
MeO-2PACz,15
MoO3 ,16
NiMgLiO,17
NiOx,18
P3HT,19
P3HT-COOH,20
PEDOT:EVA,21
PEDOT:GO,22
PEDOT:PSS,23
PTAA,24
PTZ-FI,25
Poly4PACz,26
Py3,27
SA-BPP,28
SRE-NiOx,29
Spiro-OMeTAD,30
Spiro-TTB,31
TAA-tetramer,32
TFB,33
TPA-PT-C6,34
V1366,35
hc-PEDOT:PSS,36
spiro-Naph,37
