Original,Encoded
 P3HT,0
0,1
AI2O3,2
AL17,3
BCP,4
Me-4PACz,5
MeO-2PACz,6
MoO3,7
NiOx,8
P3HT,9
PEDOT:EVA,10
PEDOT：PSS,11
PFN,12
PTAA,13
Ph-4PACz,14
Poly-4PACz,15
m-Al2O3,16
oil-PEDOT:PSS,17
