Original,Encoded
0,0
2-CF3-PEAI,1
APCl,2
BABr,3
BzMIMBr,4
DAP,5
DCP,6
DMATFA,7
DMDO,8
Di-g,9
EDA+PEA,10
EDTAK,11
EVA,12
FPAC60,13
GBA,14
Go-Li,15
H2O,16
KOH,17
L-His,18
Li2CO3,19
LiF,20
MACl,21
MESK,22
NAAc,23
NH4F,24
PCBA/PS,25
PCBBM,26
PDAI2,27
PDAI2+PEAI,28
PDAI2+Q344,29
PDI,30
PDMS,31
PEABr,32
PEABr+PMMA,33
PEACl,34
PEAI,35
PEAI+EDAI2,36
PMI-F-PMI,37
TMACL,38
VBETS,39
VBN,40
Y7-BO,41
ZrO2,42
g-C3N4,43
methyl ammonium chloride,44
piperazinium iodide,45
