Original,Encoded
0,0
AI2O3,1
BCP,2
Bphen,3
C60,4
Ca,5
FY1,6
KCl,7
PC60BM,8
PCBM,9
PEI,10
PMMA:PCBM,11
Rhodamine,12
SnO2,13
TBAOH,14
TIPD,15
TPBi,16
Zn2SnO4,17
ZnO,18
ZrO2,19
bl-TiO2,20
c-TiO2,21
m-TiO2,22
np-SnO2,23
