Original,Encoded
 KMnO4,0
0,1
Acac,2
Al,3
ClT,4
DMAPF+N-DMBI,5
H2O,6
HNO3,7
IPA,8
KCl,9
KF,10
Li-TFSI,11
NbCl3,12
Niobium Ethoxide,13
OAmI,14
PAA,15
PAAm,16
PC,17
TAA,18
TPFPB +LiClO4 ,19
Urea,20
graphene,21
mercaptoacetic aCld,22
