Original,Encoded
0,0
2-CF3-PEAI,1
APCl,2
BABr,3
BzMIMBr,4
DAP,5
DCP,6
DMATFA,7
DMDO,8
Di-g,9
EDA+PEA,10
EDTAK,11
EVA,12
FPAC60,13
GBA,14
Go-Li,15
H2O,16
KOH,17
L-His,18
Li2CO3,19
LiF,20
MACl,21
MESK,22
NAAc,23
NH4F,24
PCBA/PS,25
PCBBM,26
PDAI,27
PDAI+PEAI,28
PDI,29
PDMS,30
PEABr,31
PEABr+PMMA,32
PEACl,33
PEAI,34
PEAI+EDAI2,35
PMI-F-PMI,36
TMACL,37
VBETS,38
VBN,39
Y7-BO,40
ZrO2,41
g-C3N4,42
methyl ammonium chloride,43
piperazinium iodide,44
