Original,Encoded
(CH3)3SI,0
0,1
2-Cl-PEAI,2
2CF3-PMABr,3
4HPA,4
4MeO-PEAI,5
ACBr,6
Acrylamide,7
BAAc,8
BJ-GO,9
BzA,10
CF3-Cl-PhABr,11
CHEAI,12
CS2,13
Crown,14
CsCF3SO3,15
CsPbBr3,16
DABr,17
DOFo,18
DPA-TFA,19
EAI/MAI,20
ES,21
F-ipr-I,22
FABP,23
HTAB,24
ISO+NEO,25
MG-PEDOT,26
MoS2,27
NMG,28
OAI,29
Oam,30
PEACl,31
PEAI,32
PEAI:DIO,33
PMMA,34
PTAB,35
PTABr,36
PyrPbI3,37
TPAI,38
TeDA,39
Urea,40
[EMIM]Br,41
[M4N]BF₄,42
fMoS2,43
i-BABr,44
ipr-i,45
levodopa,46
m-PEAI,47
o-PDEAI2,48
tBAI,49
