Original,Encoded
0,0
2-butanol,1
BA,2
CB,3
C₄H₃BrS,4
Diethyl ether,5
EA,6
EA (MASCN),7
EA/Tol (1:1),8
Ethyl ether,9
IPA,10
SBS,11
Toluene+CB,12
anisole,13
n-BA,14
n-hexane,15
toluene,16
