Original,Encoded
0,0
2T-NATA,1
4PA-spiro,2
A-4PADCB,3
AI2O3,4
CT,5
Carbon,6
CbzNaph,7
EH44,8
FTPE-OSMe,9
FTPE-ST,10
LiCoO₂,11
MFGO,12
Me-4PACz,13
MeO-2PACz,14
MoO3 ,15
NiMgLiO,16
NiOx,17
P3HT,18
P3HT-COOH,19
PEDOT:EVA,20
PEDOT:GO,21
PEDOT:PSS,22
PTAA,23
PTZ-FI,24
Poly4PACz,25
SA-BPP,26
SRE-NiOx,27
Spiro-OMeTAD,28
Spiro-TTB,29
TAA-tetramer,30
TFB,31
TPA-PT-C6,32
V1366,33
hc-PEDOT:PSS,34
spiro-Naph,35
